NO. ,Date,BBCA,EXCL,BBNI,BBRI,BMRI,ASII,GGRM,UNVR,INDF,TLKM
1,12/1/2022,9000,2250,9700,4940,5200,6175,18900,4710,6675,3960
2,12/2/2022,8900,2300,9750,4890,5262.5,6125,19425,4710,6775,4000
3,12/5/2022,8775,2300,9750,4890,5437.5,6025,18925,4740,6775,3840
4,12/6/2022,8675,2290,9550,4860,5450,5875,18725,4740,6775,3600
5,12/7/2022,8450,2220,9500,4760,5187.5,5725,18850,4700,6850,3680
6,12/8/2022,8500,2170,9500,4840,5025,5675,18900,4660,6900,3740
7,12/9/2022,8575,2070,9550,4800,4962.5,5675,18800,4620,6925,3650
8,12/12/2022,8700,2070,9525,4850,4975,5675,19050,4690,6975,3700
9,12/13/2022,8700,2020,9650,4970,4950,5825,18950,4720,6925,3750
10,12/14/2022,8625,2080,9525,4980,4975,5825,19175,4720,6950,3750
11,12/15/2022,8500,2050,9475,4910,4950,5800,19150,4700,6975,3670
12,12/16/2022,8600,2010,9800,4980,5050,5775,18800,4870,6950,3680
13,12/19/2022,8650,2050,9425,4970,5000,5700,19050,4730,7000,3720
14,12/20/2022,8575,2100,9450,4910,5025,5700,18700,4770,6975,3720
15,12/21/2022,8675,2070,9350,4890,5000,5700,18250,4780,6900,3790
16,12/22/2022,8575,2100,9425,4960,4975,5775,18575,4840,6800,3750
17,12/23/2022,8500,2080,9325,4880,4962.5,5675,18850,4820,6825,3780
18,12/26/2022,8575,2080,9325,4930,5025,5650,18975,4750,6875,3750
19,12/27/2022,8600,2130,9300,4870,4975,5675,18550,4810,6800,3810
20,12/28/2022,8650,2150,9225,4820,4987.5,5625,18325,4770,6725,3730
21,12/29/2022,8575,2140,9225,4870,4987.5,5650,18400,4760,6800,3780
22,12/30/2022,8550,2140,9225,4940,4962.5,5700,18000,4700,6725,3750
23,1/2/2023,8550,2170,9225,4870,4937.5,5700,18025,4620,6775,3800
24,1/3/2023,8550,2350,9275,4850,4975,5650,18000,4600,6750,3860
25,1/4/2023,8350,2340,9175,4770,5012.5,5675,17625,4640,6850,3820
26,1/5/2023,8250,2290,9000,4640,4912.5,5375,16600,4730,6850,3770
